"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-01","6.9","0.0","0.0","0.0","-2.3","1.7","-13.2","  310","  320","11.6","15.2",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-02","4.6","0.0","0.0","0.0","-11.8","-5.5","-14.9","  220","  220","7.6","9.8",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-03","5.9","0.8","20.0","0.0","-3.2","5.0","-5.5","  220","  230","12.5","16.5","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-04","6.0","2.0","28.0","30.0","-3.4","1.7","-15.5","  340","  350","10.7","13.9","    1",,,,,,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-05","3.1","5.6","56.0","50.0","-14.5","-11.0","-19.3","  220","  250","6.3","8.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-06","2.4","0.5","5.0","100.0","-11.2","-6.0","-16.0","  340","  290","5.4","6.7","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-07","4.2","2.8","43.0","100.0","-8.5","-6.6","-13.2","  290","  290","7.6","9.8","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-08","3.1","3.8","41.0","100.0","-10.4","-6.0","-13.8","  240","  250","5.8","7.2","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-09","4.8","14.5","157.0","200.0","-4.7","-2.1","-7.7","   20","   30","9.4","11.2","    1",,,,,,"    1","    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-10","4.3","1.3","20.0","250.0","-7.3","-5.5","-9.9","  350","  350","7.6","9.8","    1",,,,,,,
